"id","sequence","name","default_code","responsible_id","list_price","standard_price","type","weight","categ_id","uom_id"
"21","0","HOJAS","ME-001","Administrator","0.0","0.0","Storable Product","1.0","All / Materia Extraña / Vegetal","kg"
"22","1","CHULQUIN/CHUPON","ME-002","Administrator","0.0","0.0","Storable Product","1.0","All / Materia Extraña / Vegetal","kg"
"23","2","COGOLLOS","ME-003","Administrator","0.0","0.0","Storable Product","1.0","All / Materia Extraña / Vegetal","kg"
"24","3","CAÑA SECA","ME-004","Administrator","0.0","0.0","Storable Product","1.0","All / Materia Extraña / Vegetal","kg"
"25","4","YAGUAS","ME-005","Administrator","0.0","0.0","Storable Product","1.0","All / Materia Extraña / Vegetal","kg"
"26","5","LALAS","ME-006","Administrator","0.0","0.0","Storable Product","1.0","All / Materia Extraña / Vegetal","kg"
"27","6","MALEZA","ME-007","Administrator","0.0","0.0","Storable Product","1.0","All / Materia Extraña / Vegetal","kg"
"28","7","TIERRAS","MM-001","Administrator","0.0","0.0","Storable Product","1.0","All / Materia Extraña / Mineral","kg"
"29","8","CEPAS","MM-002","Administrator","0.0","0.0","Storable Product","1.0","All / Materia Extraña / Mineral","kg"
"30","9","PIEDRAS","MM-003","Administrator","0.0","0.0","Storable Product","1.0","All / Materia Extraña / Mineral","kg"
"31","10","MUESTRA CAÑA LIMPIA","MP-002","Administrator","0.0","0.0","Storable Product","1.0","All / Materia Prima","kg"
